demo_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
1,21.17639,74.58324,334.94,0.4,0.37,2026-08-30,830,N,VIIRS,n,2.0NRT,291.83,1.91,D
2,30.51386,73.90864,335.57,0.45,0.39,2026-08-30,835,N,VIIRS,n,2.0NRT,299.41,2.87,D
3,31.56918,72.22474,334.87,0.41,0.37,2026-08-30,835,N,VIIRS,n,2.0NRT,302.29,2.25,D
4,33.84936,72.20547,340.8,0.42,0.38,2026-08-30,835,N,VIIRS,n,2.0NRT,297.4,3.38,D
5,32.57351,72.56357,309.26,0.44,0.38,2026-08-30,2055,N,VIIRS,n,2.0NRT,294.88,4.1,N
6,25.94431,72.19051,325.37,0.4,0.37,2026-08-30,2057,N,VIIRS,n,2.0NRT,295.03,2.14,N
7,28.74306,76.92912,316.04,0.42,0.38,2026-08-30,2057,N,VIIRS,n,2.0NRT,291.02,1.91,N
8,21.79665,72.08905,308.36,0.39,0.36,2026-08-30,2059,N,VIIRS,n,2.0NRT,292.6,1.45,N
9,28.12977,76.78864,335.41,0.39,0.36,2026-08-31,813,N,VIIRS,n,2.0NRT,296.53,2.37,D
10,31.3222,72.33394,341.28,0.43,0.38,2026-08-31,813,N,VIIRS,n,2.0NRT,301.15,8.52,D
11,28.37152,77.22688,323.5,0.41,0.37,2026-08-31,2038,N,VIIRS,n,2.0NRT,289.42,1.55,N
12,29.47525,76.859,314.13,0.43,0.38,2026-08-31,2038,N,VIIRS,n,2.0NRT,292.51,2.78,N
13,32.88905,71.61505,307.79,0.57,0.52,2026-08-31,2038,N,VIIRS,n,2.0NRT,292.31,3.29,N
14,21.10902,72.64436,299.5,0.54,0.42,2026-08-31,2040,N,VIIRS,n,2.0NRT,284.52,1.6,N
15,22.38964,73.11803,318.73,0.53,0.42,2026-08-31,2040,N,VIIRS,n,2.0NRT,282.32,1.41,N
16,24.76335,74.60571,303.34,0.47,0.4,2026-08-31,2040,N,VIIRS,n,2.0NRT,280.61,0.71,N
17,30.67169,73.90612,334.61,0.41,0.45,2026-09-01,756,N,VIIRS,n,2.0NRT,294.93,3.03,D
18,32.2988,73.30443,331.8,0.41,0.45,2026-09-01,756,N,VIIRS,n,2.0NRT,294.81,2.61,D
19,30.11697,73.26498,336.37,0.42,0.38,2026-08-30,835,N,VIIRS,n,2.0NRT,305.23,5.74,D
20,31.10913,74.49384,345.2,0.48,0.4,2026-08-30,835,N,VIIRS,n,2.0NRT,299.84,9.69,D
