demo_id,source_row,latitude,longitude,acq_date,acq_time,confidence,frp,scene,cloud
1,3,30.11638,73.26059,2026-08-30,835,l,3.03,S2B_43RCP_20260822_0_L2A,0.004113
2,6,30.35123,73.65195,2026-08-30,835,n,1.82,S2B_43RCP_20260822_0_L2A,0.004113
3,10,31.2082,73.91856,2026-08-30,835,n,3.87,S2C_43RCQ_20260827_0_L2A,0.047986
4,14,31.46879,72.1555,2026-08-30,835,n,3.6,S2A_42SYA_20260829_0_L2A,0.064135
5,23,31.61482,74.37532,2026-08-30,2055,n,0.61,S2C_43RDQ_20260827_0_L2A,0.104112
6,2,30.08648,71.7243,2026-08-30,835,n,1.66,S2B_42RYU_20260822_0_L2A,0.232109
7,43,28.35198,70.13081,2026-08-30,2057,n,0.75,S2A_42RWS_20260822_0_L2A,0.672835
8,20,32.30693,73.28819,2026-08-30,835,n,3.64,S2C_43SCR_20260827_0_L2A,0.838783
9,18,32.05318,73.38254,2026-08-30,835,n,3.08,S2C_43SCR_20260827_0_L2A,0.838783
10,25,31.769,70.10805,2026-08-30,2055,n,4.57,S2C_42SXA_20260830_0_L2A,1.358851
