latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
21.17639,74.58324,334.94,0.4,0.37,2026-08-30,830,N,VIIRS,n,2.0NRT,291.83,1.91,D
30.02923,71.74337,332.13,0.39,0.36,2026-08-30,835,N,VIIRS,l,2.0NRT,304.36,0.57,D
30.08648,71.7243,334.33,0.39,0.36,2026-08-30,835,N,VIIRS,n,2.0NRT,303.89,1.66,D
30.11638,73.26059,335.4,0.42,0.38,2026-08-30,835,N,VIIRS,l,2.0NRT,305.78,3.03,D
30.11697,73.26498,336.37,0.42,0.38,2026-08-30,835,N,VIIRS,n,2.0NRT,305.23,5.74,D
30.16407,74.51582,331.57,0.47,0.4,2026-08-30,835,N,VIIRS,l,2.0NRT,302.09,3.35,D
30.35123,73.65195,334.44,0.44,0.38,2026-08-30,835,N,VIIRS,n,2.0NRT,300.2,1.82,D
30.51386,73.90864,335.57,0.45,0.39,2026-08-30,835,N,VIIRS,n,2.0NRT,299.41,2.87,D
31.10913,74.49384,345.2,0.48,0.4,2026-08-30,835,N,VIIRS,n,2.0NRT,299.84,9.69,D
31.12675,74.30208,342.96,0.47,0.4,2026-08-30,835,N,VIIRS,n,2.0NRT,300.91,4.14,D
31.2082,73.91856,337.22,0.46,0.39,2026-08-30,835,N,VIIRS,n,2.0NRT,300.68,3.87,D
31.2118,73.91795,331.16,0.46,0.39,2026-08-30,835,N,VIIRS,n,2.0NRT,299.86,2.3,D
31.39489,72.12487,333.23,0.4,0.37,2026-08-30,835,N,VIIRS,n,2.0NRT,300.88,1.87,D
31.4235,72.12935,331.22,0.4,0.37,2026-08-30,835,N,VIIRS,n,2.0NRT,300.79,3.19,D
31.46879,72.1555,335.84,0.4,0.37,2026-08-30,835,N,VIIRS,n,2.0NRT,301.51,3.6,D
31.56918,72.22474,334.87,0.41,0.37,2026-08-30,835,N,VIIRS,n,2.0NRT,302.29,2.25,D
31.56943,72.27724,340.52,0.41,0.37,2026-08-30,835,N,VIIRS,n,2.0NRT,301.32,1.98,D
31.58139,72.28816,337.8,0.41,0.37,2026-08-30,835,N,VIIRS,n,2.0NRT,299.58,2.12,D
32.05318,73.38254,337.5,0.44,0.39,2026-08-30,835,N,VIIRS,n,2.0NRT,301.33,3.08,D
32.09223,73.23719,330.89,0.44,0.38,2026-08-30,835,N,VIIRS,n,2.0NRT,299.99,2.2,D
32.30693,73.28819,337.47,0.44,0.38,2026-08-30,835,N,VIIRS,n,2.0NRT,297.34,3.64,D
32.8883,71.61584,331.99,0.4,0.37,2026-08-30,835,N,VIIRS,l,2.0NRT,303.18,1.77,D
33.84936,72.20547,340.8,0.42,0.38,2026-08-30,835,N,VIIRS,n,2.0NRT,297.4,3.38,D
31.61482,74.37532,311.52,0.39,0.36,2026-08-30,2055,N,VIIRS,n,2.0NRT,295.45,0.61,N
31.64126,74.42704,308.12,0.39,0.36,2026-08-30,2055,N,VIIRS,n,2.0NRT,295.23,0.49,N
31.769,70.10805,312.33,0.55,0.43,2026-08-30,2055,N,VIIRS,n,2.0NRT,295.54,4.57,N
32.0868,74.16059,315.49,0.39,0.36,2026-08-30,2055,N,VIIRS,n,2.0NRT,294.79,2.11,N
32.08741,74.15643,308.49,0.39,0.36,2026-08-30,2055,N,VIIRS,n,2.0NRT,294.49,0.65,N
32.13232,74.17843,312.92,0.39,0.36,2026-08-30,2055,N,VIIRS,n,2.0NRT,295.18,0.79,N
32.57351,72.56357,309.26,0.44,0.38,2026-08-30,2055,N,VIIRS,n,2.0NRT,294.88,4.1,N
32.64409,72.9769,307.1,0.42,0.38,2026-08-30,2055,N,VIIRS,n,2.0NRT,293.7,1.59,N
32.88999,71.6175,308.91,0.48,0.4,2026-08-30,2055,N,VIIRS,n,2.0NRT,293.74,3.33,N
