source_row,latitude,longitude,acq_date,acq_time,confidence,frp,scene,cloud
3,30.11638,73.26059,2026-08-30,835,l,3.03,S2B_43RCP_20260822_0_L2A,0.004113
6,30.35123,73.65195,2026-08-30,835,n,1.82,S2B_43RCP_20260822_0_L2A,0.004113
10,31.2082,73.91856,2026-08-30,835,n,3.87,S2C_43RCQ_20260827_0_L2A,0.047986
11,31.2118,73.91795,2026-08-30,835,n,2.3,S2C_43RCQ_20260827_0_L2A,0.047986
14,31.46879,72.1555,2026-08-30,835,n,3.6,S2A_42SYA_20260829_0_L2A,0.064135
17,31.58139,72.28816,2026-08-30,835,n,2.12,S2A_42SYA_20260829_0_L2A,0.064135
16,31.56943,72.27724,2026-08-30,835,n,1.98,S2A_42SYA_20260829_0_L2A,0.064135
13,31.4235,72.12935,2026-08-30,835,n,3.19,S2A_42RYV_20260829_0_L2A,0.067183
12,31.39489,72.12487,2026-08-30,835,n,1.87,S2A_42RYV_20260829_0_L2A,0.067183
23,31.61482,74.37532,2026-08-30,2055,n,0.61,S2C_43RDQ_20260827_0_L2A,0.104112
2,30.08648,71.7243,2026-08-30,835,n,1.66,S2B_42RYU_20260822_0_L2A,0.232109
1,30.02923,71.74337,2026-08-30,835,l,0.57,S2B_42RYU_20260822_0_L2A,0.232109
43,28.35198,70.13081,2026-08-30,2057,n,0.75,S2A_42RWS_20260822_0_L2A,0.672835
20,32.30693,73.28819,2026-08-30,835,n,3.64,S2C_43SCR_20260827_0_L2A,0.838783
18,32.05318,73.38254,2026-08-30,835,n,3.08,S2C_43SCR_20260827_0_L2A,0.838783
19,32.09223,73.23719,2026-08-30,835,n,2.2,S2C_43SCR_20260827_0_L2A,0.838783
25,31.769,70.10805,2026-08-30,2055,n,4.57,S2C_42SXA_20260830_0_L2A,1.358851
60,32.5747,72.56332,2026-08-31,2038,n,3.15,S2A_43SBS_20260829_0_L2A,2.156433
30,32.64409,72.9769,2026-08-30,2055,n,1.59,S2A_43SBS_20260829_0_L2A,2.156433
61,32.8878,71.61481,2026-08-31,2038,n,3.59,S2A_42SYB_20260829_0_L2A,3.217103
31,32.88999,71.6175,2026-08-30,2055,n,3.33,S2A_42SYB_20260829_0_L2A,3.217103
21,32.8883,71.61584,2026-08-30,835,l,1.77,S2A_42SYB_20260829_0_L2A,3.217103
33,33.29622,71.18803,2026-08-30,2055,n,1.09,S2B_42SYC_20260825_0_L2A,3.330448
32,33.29611,71.18341,2026-08-30,2055,n,0.8,S2B_42SYC_20260825_0_L2A,3.330448
41,27.66868,76.13271,2026-08-30,2057,n,0.32,S2A_43REL_20260823_0_L2A,4.150259
42,27.66938,76.12862,2026-08-30,2057,n,0.32,S2A_43REL_20260823_0_L2A,4.150259
26,32.0868,74.16059,2026-08-30,2055,n,2.11,S2C_43SDR_20260827_0_L2A,4.36068
28,32.13232,74.17843,2026-08-30,2055,n,0.79,S2C_43SDR_20260827_0_L2A,4.36068
27,32.08741,74.15643,2026-08-30,2055,n,0.65,S2C_43SDR_20260827_0_L2A,4.36068
55,31.37494,74.45004,2026-08-31,813,n,6.1,S2B_43RDQ_20260829_0_L2A,9.527583
53,31.1293,74.65489,2026-08-31,813,n,4.79,S2B_43RDQ_20260829_0_L2A,9.527583
9,31.12675,74.30208,2026-08-30,835,n,4.14,S2B_43RDQ_20260829_0_L2A,9.527583
24,31.64126,74.42704,2026-08-30,2055,n,0.49,S2B_43RDQ_20260829_0_L2A,9.527583
5,30.16407,74.51582,2026-08-30,835,l,3.35,S2C_43RDP_20260824_0_L2A,14.543396
56,28.34651,77.2308,2026-08-31,2038,n,1.97,S2C_43RGM_20260821_0_L2A,21.205589
40,26.87664,73.51275,2026-08-30,2057,n,1.39,S2C_43RCK_20260824_0_L2A,25.50481
38,26.87274,73.51597,2026-08-30,2057,n,1.35,S2C_43RCK_20260824_0_L2A,25.50481
39,26.87605,73.51661,2026-08-30,2057,n,1.26,S2C_43RCK_20260824_0_L2A,25.50481
37,26.60605,73.68385,2026-08-30,2057,n,0.71,S2C_43RCK_20260824_0_L2A,25.50481
45,29.45914,76.89161,2026-08-30,2057,n,3.18,S2C_43RFN_20260831_0_L2A,29.021177
58,29.4606,76.88784,2026-08-31,2038,n,2.34,S2C_43RFN_20260831_0_L2A,29.021177
46,29.4759,76.85623,2026-08-30,2057,n,2.28,S2C_43RFN_20260831_0_L2A,29.021177
35,25.9433,72.19072,2026-08-30,2057,n,2.98,S2C_43RBJ_20260827_0_L2A,45.421076
68,24.76271,74.60774,2026-08-31,2040,n,1.26,S2C_43RDH_20260824_0_L2A,48.791593
34,24.68952,73.00175,2026-08-30,2057,n,1.08,S2C_43RCH_20260824_0_L2A,72.268069
63,21.10513,72.64378,2026-08-31,2040,n,5.89,S2B_43QBD_20260829_0_L2A,83.702946
50,21.26307,72.94081,2026-08-30,2059,n,2.1,S2B_43QBD_20260829_0_L2A,83.702946
49,21.1016,72.63586,2026-08-30,2059,n,1.65,S2B_43QBD_20260829_0_L2A,83.702946
48,21.10102,72.63954,2026-08-30,2059,n,0.49,S2B_43QBD_20260829_0_L2A,83.702946
47,20.35619,72.94963,2026-08-30,2059,n,1.84,S2B_43QBC_20260829_0_L2A,83.824599
66,22.3882,73.11613,2026-08-31,2040,n,2.6,S2B_43QCE_20260829_0_L2A,84.505403
65,22.3858,73.11745,2026-08-31,2040,n,1.11,S2B_43QCE_20260829_0_L2A,84.505403
